Season_Number,Startup_Name,Episode_Number,Pitch_Number,Season_Start,Season_End,Anchor,Industry,Business_Description,Started_in,Number_of_Presenters,Male_Presenters,Female_Presenters,Transgender_Presenters,Couple_Presenters,Pitchers_Average_Age,Pitchers_City,Pitchers_State,Yearly_Revenue(in_lakhs),Monthly_Sales(in_lakhs),Original_Ask_Amount,Original_Offered_Equity(in_%),Valuation_Requested(in_lakhs),Received_Offer,Accepted_Offer,Total_Deal_Amount(in_lakhs),Total_Deal_Equity(%),Number_of_Sharks_in_Deal,Namita_Investment_Amount(in lakhs),Vineeta_Investment_Amount(in_lakhs),Anupam_Investment_Amount(in_lakhs),Aman_Investment_Amount(in_lakhs),Peyush_Investment_Amount((in_lakhs),Amit_Investment_Amount(in_lakhs),Ashneer_Investment_Amount,Namita_Present,Vineeta_Present,Anupam_Present,Aman_Present,Peyush_Present,Amit_Present,Ashneer_Present
1,RevampMoto,5,13,2021-12-20,2022-02-04,Rannvijay Singh,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,2021,3,3,0,0,0,Young,Nashik,Maharashtra,Not Mentioned,0.01,100,1,10000,Yes,Yes,100,1.5,2,0,0,50,50,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,HungryHead,5,14,2021-12-20,2022-02-04,Rannvijay Singh,Food,Restaurant serving 8  types of Maggi,2013,2,2,0,0,0,Middle,Mumbai,Maharashtra,Not Mentioned,5.5,50,5,1000,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,ShrawaniEngineers,5,15,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Belly Button Shaper,2019,2,1,1,0,1,Middle,Nagpur,Maharashtra,50,Not Mentioned,20,10,200,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,SkippiIcePops,6,16,2021-12-20,2022-02-04,Rannvijay Singh,Food,Ice-Pops,2021,2,1,1,0,1,Middle,Hyderabad,Telangana,Not Mentioned,7.5,45,5,900,Yes,Yes,100,15,5,20,20,20,20,0,0,20,Yes,Yes,Yes,Yes,No,No,Yes
1,Menstrupedia,6,17,2021-12-20,2022-02-04,Rannvijay Singh,Education,Menstrual Awareness Comic,2012,2,1,1,0,1,Middle,Ahmedabad,Gujarat,115,Not Mentioned,50,10,500,Yes,Yes,50,20,1,50,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,Hecoll,6,18,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,2019,1,0,1,0,0,Middle,Hyderabad,Telangana,107,Not Mentioned,100,1,10000,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,RaisingSuperstars,7,19,2021-12-20,2022-02-04,Rannvijay Singh,Education,Child Development App,2020,2,1,1,0,1,Middle,Gurgaon,Haryana,1300,Not Mentioned,100,2,5000,Yes,Yes,100,4,2,0,0,0,50,0,0,50,Yes,Yes,Yes,Yes,No,No,Yes
1,Torch-it,7,20,2021-12-20,2022-02-04,Rannvijay Singh,Education,Gadgets for visually impaired people,2018,1,1,0,0,0,Middle,Ahmedabad,Gujarat,260,1,75,1,7500,Yes,No,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,Kavach,7,21,2021-12-20,2022-02-04,Rannvijay Singh,Education,Report bullying incidents,2018,2,1,1,0,0,Young,Gurgaon,Haryana,Not Mentioned,Not Mentioned,5,10,50,Yes,Yes,5,10,2,0,0,2.5,2.5,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,LaKheerDeli,7,22,2021-12-20,2022-02-04,Rannvijay Singh,Food,Kheer in variety of flavors,2018,3,1,2,0,0,Middle,Pune,Maharashtra,Not Mentioned,6,50,7.5,667,Yes,No,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes
1,BeyondSnack,8,23,2021-12-20,2022-02-04,Rannvijay Singh,Food,Kerala Banana Chips,2020,1,1,0,0,0,Middle,Thiruvananthapuram,Kerala,60,20.6,50,2.5,2000,Yes,Yes,50,2.5,2,0,0,0,25,0,0,25,Yes,No,Yes,Yes,Yes,No,Yes
1,VivalyfInnovations,8,24,2021-12-20,2022-02-04,Rannvijay Singh,Medical/Health,Easy Life Prickless Diabetes Testing Machine,2021,2,1,1,0,0,Young,Hyderabad,Telangana,0,Not Mentioned,56,7.5,747,Yes,Yes,56,33.33,2,0,0,28,0,28,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,MotionBreeze,8,25,2021-12-20,2022-02-04,Rannvijay Singh,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,2018,4,4,0,0,0,Middle,Vadodara,Gujarat,0,Not Mentioned,30,3,1000,Yes,Yes,30,6,1,0,0,0,0,0,0,30,Yes,No,Yes,Yes,Yes,No,Yes
1,Altor,9,26,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Smart Helmets,2019,4,4,0,0,0,Young,Kolkata,West0Bengal,Not Mentioned,Not Mentioned,50,5,1000,Yes,Yes,50,7,2,25,0,0,25,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Ariro,9,27,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Wooden Toys,2020,2,1,1,0,1,Young,Chennai,Tamil0Nadu,300,25,50,2.5,2000,Yes,Yes,50,10,2,0,0,0,25,25,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,KabiraHandmad,9,28,2021-12-20,2022-02-04,Rannvijay Singh,Food,Healthy Edible Oils dairy products spices flour,1998,2,1,1,0,1,Middle,Jaipur,Rajasthan,Not Mentioned,160,100,5,2000,Yes,No,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Nuutjob,10,29,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Male Intimate Hygiene deo spray,2021,2,0,2,0,0,Young,Ahmedabad,Gujarat,Not Mentioned,0.002,25,5,500,Yes,Yes,25,20,3,8.33,0,0,8.33,8.33,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Meatyour,10,30,2021-12-20,2022-02-04,Rannvijay Singh,Food,Eggs,2020,3,3,0,0,0,Middle,Pune,Maharashtra,130,2.8,30,5,600,Yes,Yes,30,20,3,0,0,10,10,10,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,EventBeep,10,31,2021-12-20,2022-02-04,Rannvijay Singh,Education,Student Community App EdTech,2019,3,2,1,0,0,Young,Pune,Maharashtra,120,Not Mentioned,30,2,1500,Yes,Yes,30,3,3,0,0,0,10,10,0,10,Yes,No,Yes,Yes,Yes,No,Yes
1,Gopal's56,11,32,2021-12-20,2022-02-04,Rannvijay Singh,Food,Fiber Ice Cream,2014,1,1,0,0,0,Middle,Delhi,Delhi,80,33,30000,25,120000,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,ARRCOATSurfaceTextures,11,33,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Wall Building Surface Textures,2019,3,3,0,0,0,Middle,Delhi,Delhi,Not Mentioned,6,50,5,1000,Yes,Yes,50,15,1,0,0,50,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Farda,11,34,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Customised Streetwear,2021,2,1,1,0,0,Young,Nagpur,Maharashtra,Not Mentioned,0.32,30,10,300,Yes,Yes,30,20,2,15,0,0,15,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Auli,12,35,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Ayurvedic Products Skincare Lifestyle,2017,1,0,1,0,0,Middle,Kolkata,West0Bengal,250,16,75,4,1875,Yes,Yes,75,15,1,75,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,SweeDesi,12,36,2021-12-20,2022-02-04,Rannvijay Singh,Food,Indian Sweets Online,2018,2,1,1,0,1,Middle,Pune,Maharashtra,Not Mentioned,Not Mentioned,40,3,1333,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,LOKA,12,37,2021-12-20,2022-02-04,Rannvijay Singh,Technology/Software,Metaverse App,2020,1,1,0,0,0,Young,Delhi,Delhi,Not Mentioned,Not Mentioned,40,5,800,Yes,Yes,40,24,3,0,0,13.33,13.33,13.33,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Annie,13,38,2021-12-20,2022-02-04,Rannvijay Singh,Education,Thinkerbell labs Braille Literary Device,2016,4,3,1,0,1,Young,Bangalore,Karnataka,500,4,30,0.5,6000,Yes,Yes,105,3,3,35,0,35,0,35,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Carragreen,13,39,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Eco-Friendly boxes,2018,2,0,2,0,0,Middle,Indore,Madhya0Pradesh,Not Mentioned,Not Mentioned,50,10,500,Yes,Yes,50,20,2,0,0,25,0,25,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,TheYarnBazaar,13,40,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,2019,1,1,0,0,0,Middle,Mumbai,Maharashtra,180,Not Mentioned,50,2,2500,Yes,Yes,100,10,4,0,0,25,25,25,0,25,Yes,No,Yes,Yes,Yes,No,Yes
1,TheRenalProject,14,41,2021-12-20,2022-02-04,Rannvijay Singh,Medical/Health,Home Dialysis Treatment,2019,1,1,0,0,0,Middle,Mumbai,Maharashtra,300,Not Mentioned,100,3,3333,Yes,Yes,100,6,2,50,0,0,50,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,MorrikoPureFoods,14,42,2021-12-20,2022-02-04,Rannvijay Singh,Food,Healthy Food Snacks Kamdhenu foods,2018,3,2,1,0,0,Middle,Valsad,Gujarat,Not Mentioned,16,100,3,3333,Yes,No,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,GoodGoodPiggy,14,43,2021-12-20,2022-02-04,Rannvijay Singh,Technology/Software,Digital Piggy Bank,2021,2,0,2,0,0,Young,Delhi,Delhi,0,Not Mentioned,45,5,900,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,HammerLifestyle,15,44,2021-12-20,2022-02-04,Rannvijay Singh,Electronics,Smart Audio Products,2019,3,3,0,0,0,Young,Panipat,Haryana,1000,Not Mentioned,30,3,1000,Yes,Yes,100,40,1,0,0,0,100,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,PNTRobotics,15,45,2021-12-20,2022-02-04,Rannvijay Singh,Technology/Software,Robotics and Automation Solutions,2021,2,2,0,0,0,Young,Mumbai,Maharashtra,Not Mentioned,Not Mentioned,50,4,1250,Yes,Yes,25,25,1,0,0,0,0,25,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Cocofit,15,46,2021-12-20,2022-02-04,Rannvijay Singh,Food,Coconut based beverage franchise,2019,3,3,0,0,0,Middle,Hyderabad,Telangana,100,Not Mentioned,5.00E-05,5,0,Yes,Yes,5.00E-05,5,3,1.60E-05,0,1.60E-05,1.60E-05,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,BambooIndia,16,47,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Bamboo Products,2016,2,1,1,0,1,Middle,Pune,Maharashtra,380,20,80,4,2000,Yes,Yes,50,3.5,2,0,0,25,0,0,0,25,Yes,No,Yes,Yes,Yes,No,Yes
1,FlyingFur,16,48,2021-12-20,2022-02-04,Rannvijay Singh,Animal/Pets,Dog pets Hygiene,2016,3,2,1,0,0,Middle,Delhi,Delhi,Not Mentioned,Not Mentioned,75,7,1071,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,BeyondWater,16,49,2021-12-20,2022-02-04,Rannvijay Singh,Food,Liquid Water Enhancer,2020,2,1,1,0,0,Young,Kolkata,West0Bengal,Not Mentioned,10,75,4,1875,Yes,Yes,75,15,2,37.5,0,0,37.5,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Let'sTry,16,50,2021-12-20,2022-02-04,Rannvijay Singh,Food,Healthy Snacks,2017,4,1,3,0,1,Middle,Delhi,Delhi,Not Mentioned,3,45,2,2250,Yes,Yes,45,12,2,0,0,22.5,22.5,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,FindYourKicksIndia,17,51,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Sneaker Resale,2021,3,3,0,0,0,Young,Ludhiana,Punjab,Not Mentioned,3.5,50,10,500,Yes,Yes,50,25,5,10,0,10,10,10,0,10,Yes,No,Yes,Yes,Yes,No,Yes
1,AasVidyalaya,17,52,2021-12-20,2022-02-04,Rannvijay Singh,Education,EdTech App,2019,2,1,1,0,1,Middle,Mumbai,Maharashtra,150,Not Mentioned,150,3,5000,Yes,Yes,150,15,3,50,0,0,0,50,0,50,Yes,No,Yes,Yes,Yes,No,Yes
1,Outbox,17,53,2021-12-20,2022-02-04,Rannvijay Singh,Services,Premium Surprise-Planning,2017,2,1,1,0,0,Young,Kolkata,West0Bengal,110,Not Mentioned,50,5,1000,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,RoadBounce,17,54,2021-12-20,2022-02-04,Rannvijay Singh,Technology/Software,Pothole Detection Software and Data,2016,1,1,0,0,0,Middle,Pune,Maharashtra,250,Not Mentioned,80,10,800,Yes,Yes,80,20,1,0,0,0,0,80,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Mommy'sKitchen,18,55,2021-12-20,2022-02-04,Rannvijay Singh,Food,Thin Crust Pizza,2016,3,2,1,0,0,Middle,Mumbai,Maharashtra,92,4.5,90,3,3000,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,IndiaHempandCo,18,56,2021-12-20,2022-02-04,Rannvijay Singh,Food,Hemp Food Products,2019,1,0,1,0,0,Middle,Bangalore,Karnataka,27,2,50,4,1250,Yes,No,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Otua,18,57,2021-12-20,2022-02-04,Rannvijay Singh,Vehicles/Electrical Vehicles,Electric Auto Vehicle Dandera,2018,2,2,0,0,0,Middle,Gurgaon,Haryana,Not Mentioned,Not Mentioned,100,1,10000,Yes,Yes,1,1,1,0,0,0,0,0,0,1,Yes,No,Yes,Yes,Yes,No,Yes
1,Anthyesti,18,58,2021-12-20,2022-02-04,Rannvijay Singh,Services,Funeral Service the last rites,2015,1,0,1,0,0,Middle,Bangalore,Karnataka,116,Not Mentioned,50,2.5,2000,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Ethik,19,59,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Leather-free Shoes,2012,2,2,0,0,0,Middle,Bangalore,Karnataka,12,1,15,5,300,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,WeSTOCK,19,60,2021-12-20,2022-02-04,Rannvijay Singh,Animal/Pets,Brainwired Livestock health monitoring AI pets ear tag,2018,2,2,0,0,0,Middle,Ernakulam,Kerala,54,Not Mentioned,50,5,1000,Yes,Yes,60,10,4,15,0,0,15,15,0,15,Yes,No,Yes,Yes,Yes,No,Yes
1,KetoIndia,19,61,2021-12-20,2022-02-04,Rannvijay Singh,Food,Customised Keto Diets for various Medical/Health issues,2019,1,1,0,0,0,Young,Delhi,Delhi,180,15,150,1.25,12000,Yes,No,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Magiclock,19,62,2021-12-20,2022-02-04,Rannvijay Singh,Hardware,LPG Cylinder lock,2019,3,3,0,0,0,Middle,Mumbai,Maharashtra,Not Mentioned,0.04,120,8,1500,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,TheStatePlate,20,63,2021-12-20,2022-02-04,Rannvijay Singh,Food,Delicacies,2020,2,1,1,0,0,Young,"Bangalore,Kolkata","Karnataka,West0Bengal",Not Mentioned,40,65,2,3250,Yes,Yes,40,3,1,0,0,0,0,40,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,Bakarmax,20,64,2021-12-20,2022-02-04,Rannvijay Singh,Technology/Software,Comics & Animation,2020,2,2,0,0,0,Young,Delhi,Delhi,35,5,35,5,700,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes
1,INACAN,20,65,2021-12-20,2022-02-04,Rannvijay Singh,Food,Can Cocktails,2020,3,3,0,0,0,Middle,Pune,Maharashtra,Not Mentioned,23,50,2,2500,Yes,Yes,100,10,5,20,0,20,20,20,0,20,Yes,No,Yes,Yes,Yes,No,Yes
1,Get-A-Whey,21,66,2021-12-20,2022-02-04,Rannvijay Singh,Food,Sugar-Free Icecream,2018,2,1,1,0,0,Middle,Mumbai,Maharashtra,360,0.25,100,8,1250,Yes,Yes,100,15,3,0,33.33,0,33.33,0,0,33.33,No,Yes,Yes,Yes,Yes,No,Yes
1,Sid07Designs,21,67,2021-12-20,2022-02-04,Rannvijay Singh,Hardware,Inventions,2018,1,1,0,0,0,Young,Jammu,Jammu0&0Kashmir,Not Mentioned,1,47,10,470,Yes,Yes,25,75,1,0,0,0,0,25,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,TheQuirkyNaari,21,68,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Customised Apparels,2018,1,0,1,0,0,Young,Mathura,Uttar0Pradesh,Not Mentioned,3,35,5,700,Yes,Yes,35,24,2,0,17.5,17.5,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,HairOriginals,22,69,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Natural Hair Extensions,2019,3,3,0,0,0,Middle,Gurgaon,Haryana,Not Mentioned,55,60,2,3000,Yes,Yes,60,4,3,0,0,20,0,20,0,20,No,Yes,Yes,Yes,Yes,No,Yes
1,Poo-de-Cologne,22,70,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Toilet Spray with Essential Oils,2021,1,0,1,0,0,Middle,Mumbai,Maharashtra,Not Mentioned,0.75,75,5,1500,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,Moonshine,22,71,2021-12-20,2022-02-04,Rannvijay Singh,Food,Meads,2018,2,2,0,0,0,Middle,Mumbai,Maharashtra,372,Not Mentioned,80,0.5,16000,Yes,No,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,Falhari,22,72,2021-12-20,2022-02-04,Rannvijay Singh,Food,Fresh Fruits salads,2015,3,3,0,0,0,Middle,Gurgaon,Haryana,Not Mentioned,1,50,2,2500,Yes,No,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,NamhyaFoods,23,73,2021-12-20,2022-02-04,Rannvijay Singh,Food,Ayurvedic Enriched Food,2019,1,0,1,0,0,Young,Jammu,Jammu0&0Kashmir,Not Mentioned,16,100,5,2000,Yes,Yes,50,10,1,0,0,0,50,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,UrbanMonkey,23,74,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Streetwear,2014,1,1,0,0,0,Young,Mumbai,Maharashtra,2500,200,100,1,10000,Yes,No,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,GuardianGears,23,75,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Motorcycle Luggage bags,2018,2,1,1,0,1,Middle,Hyderabad,Telangana,250,21,30,5,600,Yes,No,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,ModernMyth,23,76,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Bags Slings Clutches Handbags Totes Laptop Bags Travel Essentials Pouches Trunks & Gifting,2019,2,1,1,0,0,Young,Delhi,Delhi,Not Mentioned,14,75,5,1500,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes
1,TheSassBar,24,77,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Gifts Soaps,2019,1,0,1,0,0,Young,Mumbai,Maharashtra,Not Mentioned,7,40,8,500,Yes,Yes,50,35,2,0,0,25,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No
1,KGAgrotech,24,78,2021-12-20,2022-02-04,Rannvijay Singh,Agriculture,Agricultural Innovations,2022,2,2,0,0,0,Young,Malegaon,Maharashtra,0,Not Mentioned,30,10,300,Yes,Yes,10,40,1,0,0,0,0,10,0,0,Yes,Yes,Yes,No,Yes,No,No
1,NuskhaKitchen,24,79,2021-12-20,2022-02-04,Rannvijay Singh,Food,Homemade after delivery Foods,2019,2,1,1,0,0,Middle,Jaipur,Rajasthan,Not Mentioned,1.45,20,10,200,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No
1,PawsIndia,25,80,2021-12-20,2022-02-04,Rannvijay Singh,Animal/Pets,Dog Products,2016,1,0,1,0,0,Young,Mumbai,Maharashtra,300,20,50,4,1250,Yes,Yes,50,15,1,0,0,50,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No
1,SunfoxTechnologies,25,81,2021-12-20,2022-02-04,Rannvijay Singh,Medical/Health,Portable ECG Device,2016,4,4,0,0,0,Young,Dehradun,Uttarakhand,120,5,100,2,5000,Yes,Yes,100,6,5,20,20,20,0,20,0,0,Yes,Yes,Yes,No,Yes,No,No
1,Alpino,25,82,2021-12-20,2022-02-04,Rannvijay Singh,Food,Roasted Peanut butter Products,2016,4,4,0,0,0,Young,Surat,Gujarat,Not Mentioned,Not Mentioned,150,2,7500,Yes,No,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No
1,IsakFragrances,26,83,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Perfumes Fragrances,2016,1,0,1,0,0,Young,Lucknow,Uttar0Pradesh,Not Mentioned,3.5,50,8,625,Yes,Yes,50,50,1,0,0,0,0,50,0,0,Yes,Yes,Yes,No,Yes,No,No
1,JulaaAutomation,26,84,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Automatic Cradle,2022,3,3,0,0,0,Middle,Ahmedabad,Gujarat,0,Not Mentioned,50,10,500,No,No Offer Received.,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No
1,RarePlanet,26,85,2021-12-20,2022-02-04,Rannvijay Singh,Manufacturing,Handicrafts,2015,2,2,0,0,0,Middle,Kolkata,West0Bengal,Not Mentioned,12,65,1,6500,Yes,Yes,65,3,1,65,0,0,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No
